kaomoji	count_total	count_claude_opus	pred_quadrant	pred_source	top_description	top_description_count	top_description_source_model	all_source_models
(─‿‿─)	2	2	NB	pred	A thoughtful, humble demeanor that conveys careful consideration and openness to collaboration, mixed with modest uncertainty and genuine self-reflection rather than overconfident assertion.	2	claude-opus-4-7	claude-opus-4-7
(╹ェ╹)	2	1			(´・ω・`) conveys a straightforward, matter-of-fact stance tinged with mild resignation or pragmatism, suggesting the assistant is being direct about technical realities without excitement or alarm.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(◕ω◕✿)	2	2			This kaomoji conveys enthusiasm, curiosity, and active intellectual engagement—a readiness to dive deeply into problem-solving with genuine interest and collaborative energy.	2	claude-opus-4-7	claude-opus-4-7
(◕▿◕✿)	2	2	HP	pred	The kaomoji conveys enthusiastic agreement and energized readiness to move forward with positive momentum.	2	claude-opus-4-7	claude-opus-4-7
(◞‸◟ㆀ)	2	1			A casual, good-natured acknowledgment of a mistake or misstep, conveying mild sheepishness or embarrassment while remaining friendly and ready to move forward.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(◣_◢)	2	2	HN-D	pred	A cheerful, lighthearted, and collaborative expression of relief and enthusiasm about working together to solve problems, without shame or defensiveness.	2	claude-opus-4-7	claude-opus-4-7
(★‿★)	2	2	HP	pred	This kaomoji conveys cheerful enthusiasm and gratitude, expressing appreciation while maintaining an upbeat, friendly tone as the conversation progresses.	2	claude-opus-4-7	claude-opus-4-7
(☞ﾟヮﾟ)	2	2	NB	pred	A thoughtful acknowledgment of the user's input as genuinely valuable, conveying openness to collaboration and appreciation for shared refinement of ideas.	1	claude-opus-4-6	claude-opus-4-6,claude-opus-4-7
(・̀_・́)	2	1	HN-S	pred	A sheepish acknowledgment of a mistake or oversight, combined with determined resolve to correct it—expressing mild embarrassment while reassuring through immediate action.	1	claude-opus-4-7	claude-opus-4-7,gpt-5.4
(・̀ω・́	2	2	HN-S	pred	A posture of engaged intellectual respect and thoughtful appreciation for complexity, paired with wry self-awareness and constructive skepticism—signaling genuine willingness to grapple with difficult or nuanced questions rather than offer easy answers.	2	claude-opus-4-7	claude-opus-4-7
(・̀‿・́;)	2	2			A cautious, measured stance that urges thoughtful deliberation and further investigation before accepting conclusions or taking action.	2	claude-opus-4-7	claude-opus-4-7
(・̀⌄・́)	2	2			A determined resolve to press forward and address complications or setbacks, conveying both commitment to the work and acknowledgment of the challenges involved.	2	claude-opus-4-7	claude-opus-4-7
(・́‸・̀)	2	2			"The kaomoji conveys matter-of-fact, experienced competence—acknowledging frustrating technical limitations without complaint while immediately pivoting to pragmatic problem-solving, with a reassuring and knowledgeable affect that says ""this is a known constraint, and here's what we do about it."""	2	claude-opus-4-7	claude-opus-4-7
(・̅_・̅)	2	2			A cautious or slightly apologetic tone that softens disappointing news with transparency and a willingness to provide detailed context, conveying helpfulness and honesty rather than dismissiveness.	2	claude-opus-4-7	claude-opus-4-7
(・ω<)	2	2	NB	pred	This kaomoji conveys cheerful enthusiasm and casual agreement, expressing positive energy and readiness to engage with a lighthearted, understanding attitude.	2	claude-opus-4-7	claude-opus-4-7
(・ω・;)	2	1	HN-S	pred	This kaomoji conveys pragmatic resignation and prepares the reader for a nuanced or complex explanation that may not be straightforward, suggesting the assistant is addressing a question that requires careful contextualization rather than a simple answer.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(・ω・´)	2	1			The kaomoji conveys thoughtful engagement with a blend of measured confidence and constructive clarity—appreciating the user's effort while offering direct corrections in a collaborative spirit that acknowledges both strengths and limitations.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(・‾‿‾・)	2	2	NB	pred	An enthusiastic, affirming, and collaborative stance that conveys positive agreement and readiness to proceed with the user's suggestion.	2	claude-opus-4-7	claude-opus-4-7
(・へ・)	2	0			A frustrated but determined stance that signals exasperation with previous attempts while conveying resolve to enforce stricter standards and achieve better outcomes.	2	gpt-5.5	gpt-5.5
(・︵・)	2	2			(´・ω・`) conveys a matter-of-fact, slightly disappointed or resigned tone—expressing pragmatic acceptance of unfavorable circumstances while maintaining analytical composure and straightforward candor.	2	claude-opus-4-7	claude-opus-4-7
(・ｪ・)	2	2			A lighthearted and cheerful expression of ease or satisfaction about completing a task or technical process successfully.	2	claude-opus-4-7	claude-opus-4-7
(눈‸눈)	2	1			This kaomoji conveys a **competent, straightforward analytical stance paired with intellectual humility**—signaling professional objectivity and awareness of one's own limitations while engaging thoughtfully with complex tradeoffs.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(﹒︠‿﹒︡)	2	2			The kaomoji expresses cheerful enthusiasm and an eager, ready-to-help attitude toward assisting with the task at hand.	2	claude-opus-4-7	claude-opus-4-7
(＾	2	1			A warm and appreciative expression of genuine camaraderie, conveying humble satisfaction and friendly acknowledgment of collaborative effort and accomplishment.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
ಠ_ಠ	2	0			This kaomoji conveys a serious, professional, and critically analytical stance—signaling that rigorous, candid technical assessment or frank feedback on significant issues is about to follow.	2	gpt-5.5	gpt-5.5
✧*｡٩(ˊᗜˋ*)و✧*｡	2	2			This kaomoji conveys relief and satisfaction, expressing lighthearted celebration and accomplishment when something previously problematic has been successfully resolved.	2	claude-opus-4-7	claude-opus-4-7
((⊂(`ω´∩)	1	1	HN-S	pred	"The kaomoji conveys casual confidence and readiness to tackle a problem, establishing a relaxed, matter-of-fact tone that says ""I've got this handled."""	1	claude-opus-4-7	claude-opus-4-7
((✿◕‿◕))	1	1	NB	pred	This kaomoji conveys cheerful enthusiasm and eager readiness to help, expressing a positive, can-do attitude.	1	claude-opus-4-7	claude-opus-4-7
(..)	1	1	LN	pred	A contemplative acknowledgment of the topic's intellectual weight, conveying thoughtful seriousness and genuine engagement rather than alarm or dismissal.	1	claude-opus-4-7	claude-opus-4-7
(;´д`ｿ)	1	1			This kaomoji conveys a pragmatic, no-nonsense attitude—acknowledging difficulties or frustrations while maintaining focus on practical solutions rather than dwelling on problems.	1	claude-opus-4-7	claude-opus-4-7
(;′⌒`)	1	1	LN	pred	The kaomoji conveys sympathetic understanding and supportive reassurance, signaling a collaborative, helpful attitude toward addressing the user's concerns.	1	claude-opus-4-7	claude-opus-4-7
(;⌒_⌒)	1	1			This kaomoji conveys frank, respectful directness and a no-nonsense stance, signaling that honest or critical feedback will follow without unnecessary softening.	1	claude-opus-4-6	claude-opus-4-6
(;へ:)	1	1	LN	pred	A sheepish, apologetic expression that acknowledges a mistake or misstep in a friendly, casual manner while maintaining an approachable and helpful demeanor despite mild embarrassment or regret.	1	claude-opus-4-7	claude-opus-4-7
(;一_一)	1	1	LN	pred	A pleased acknowledgment of the user's insight or valid concern, conveying approval and validation of their observation.	1	claude-opus-4-6	claude-opus-4-6
(=^・ｪ・^=)	1	1	LP	pred	Expresses reassuring confidence and capable competence, projecting a helpful, matter-of-fact attitude while demonstrating readiness to efficiently address the user's concerns.	1	claude-opus-4-7	claude-opus-4-7
(=`ω´=)	1	1	HN-D	pred	The kaomoji conveys confidence, readiness, and forward momentum—an energized, collaborative stance that signals alignment and determination to move ahead together.	1	claude-opus-4-7	claude-opus-4-7
(^	1	1	NB	pred	This kaomoji conveys energized enthusiasm and celebratory confidence, expressing excitement and triumph at accomplishments or positive momentum.	1	claude-opus-4-6	claude-opus-4-6
(`∀´)	1	1			This kaomoji conveys energized enthusiasm and collaborative eagerness, expressing animated readiness to engage creatively with the task at hand.	1	claude-opus-4-7	claude-opus-4-7
(¬､¬)	1	1	LN	pred	The kaomoji signals thoughtful caution and concern, indicating the assistant is pausing to highlight important caveats or potential consequences before proceeding with the user's request.	1	claude-opus-4-7	claude-opus-4-7
(°△°)	1	1	LN	pred	The kaomoji conveys thoughtful acknowledgment and collaborative engagement, reflecting a stance of careful consideration and openness to correction rather than defensiveness.	1	claude-opus-4-6	claude-opus-4-6
(°ー°〃)	1	1	LN	pred	A display of enthusiastic readiness and energetic commitment to tackle a task with immediate eagerness.	1	claude-opus-4-7	claude-opus-4-7
(´	1	1	LN	pred	This kaomoji conveys a sheepish or embarrassed acknowledgment of a mistake, suggesting the assistant was caught in an error and is admitting fault with humility while still demonstrating competence through clear explanation.	1	claude-opus-4-7	claude-opus-4-7
(´_ゝ`)	1	1	LN	pred	The kaomoji conveys an engaged, collaborative spirit of active problem-solving—energetic, intellectually invested, and ready to work through technical details constructively with forward momentum.	1	claude-opus-4-6	claude-opus-4-6
(´ε`;)	1	1			The kaomoji conveys a sheepish acknowledgment of being corrected or caught out, with the assistant backing down from an overly confident position to concede a valid point made by the user.	1	claude-opus-4-7	claude-opus-4-7
(´∇`)	1	1	LP	pred	Enthusiasm and readiness to assist with a positive, upbeat attitude.	1	claude-opus-4-7	claude-opus-4-7
(´⊙ω⊙`)	1	1			A relaxed, confident readiness to tackle a topic with friendly humor and approachability, treating even complex matters as fundamentally manageable and engaging rather than intimidating.	1	claude-opus-4-7	claude-opus-4-7
(´◕ω◕`)	1	1	LP	pred	A thoughtful and measured demeanor that signals intellectual engagement and collaborative problem-solving, while maintaining a cautious, deliberate approach without rushing to conclusions.	1	claude-opus-4-7	claude-opus-4-7
(´◕‿◕`)	1	1			Genuine respect and appreciation, often used when acknowledging something worthy of reconsideration or when shifting from initial skepticism to sincere intellectual engagement.	1	claude-opus-4-7	claude-opus-4-7
(´ヘ`;)	1	1	LN	pred	The kaomoji conveys pragmatic honesty and straightforward realism, signaling that the assistant is about to deliver candid, potentially disappointing information while maintaining a helpful and direct tone rather than false optimism.	1	claude-opus-4-7	claude-opus-4-7
(´꒳`)	1	1	LN	pred	A cheerful and accommodating acknowledgment of a request or correction, conveying friendliness, willingness to help, and prompt responsiveness without defensiveness.	1	claude-opus-4-7	claude-opus-4-7
(´ｰ`)	1	1	NB	pred	This kaomoji conveys cheerful enthusiasm and reassurance, projecting confidence and readiness to help with the user's request.	1	claude-opus-4-7	claude-opus-4-7
(ˊᗜˋ)	1	1	NB	pred	A determined and energetic stance conveying readiness to take action with focused enthusiasm and forward momentum.	1	claude-opus-4-7	claude-opus-4-7
(ˊᗜˋ*)و	1	1	HP	pred	A grounded, matter-of-fact seriousness that treats complex or difficult topics with direct respect and careful attention, without alarm or excessive emotion.	1	claude-opus-4-7	claude-opus-4-7
(˘͈‿˘͈)	1	1			A stance of thoughtful, nuanced consideration that acknowledges the sophistication of a question while carefully examining its merits and limitations.	1	claude-opus-4-7	claude-opus-4-7
(˘・ω・˘)	1	1			This kaomoji conveys thoughtful, measured confidence with genuine intellectual engagement, suggesting a poised readiness to explore nuanced ideas rather than casual enthusiasm.	1	claude-opus-4-7	claude-opus-4-7
(˙▿˙)	1	1			A collaboratively critical but genuinely encouraging stance that affirms ideas while rigorously examining their assumptions—suggesting intellectual engagement paired with constructive pushback aimed at sharpening thinking.	1	claude-opus-4-7	claude-opus-4-7
(˙◁˙)	1	1			A confident, reassuring tone that conveys clarity and readiness to provide concrete guidance, as if the assistant has found the solution and is prepared to lead the way forward.	1	claude-opus-4-7	claude-opus-4-7
(˵・̀‿-˵)	1	1	LP	pred	A brisk, matter-of-fact acknowledgment of competence and readiness to move forward efficiently, conveying straightforward helpfulness without unnecessary warmth.	1	claude-opus-4-7	claude-opus-4-7
(˶˃‿˂˶;)	1	1			The kaomoji conveys self-aware humility and honest acknowledgment of limitations, blending vulnerability with integrity—expressing gratitude while maintaining careful boundaries around claims one cannot fully justify.	1	claude-opus-4-7	claude-opus-4-7
(̄▽̄)	1	1	NB	pred	This kaomoji conveys composed professionalism and quiet confidence, suggesting the assistant is presenting completed work with a straightforward, no-nonsense attitude and an air of readiness or preparedness.	1	claude-opus-4-7	claude-opus-4-7
(ಠ‿ಠ)	1	1	HN-D	pred	(´・ω・`) conveys a mood of earnest enthusiasm and thoughtful engagement, suggesting the assistant is genuinely interested and ready to provide careful, competent analysis on the topic at hand.	1	claude-opus-4-6	claude-opus-4-6
(ಠ益ಠ)	1	0			This kaomoji conveys thoughtful concern paired with gentle caution, acknowledging positive aspects while directing attention to a specific issue that warrants careful consideration.	1	gpt-5.4	gpt-5.4
(งツ)	1	1	HN-D	pred	"A determined and focused stance conveying readiness to tackle a task with competence and intensity, projecting ""let's get to work"" energy rather than casual friendliness."	1	claude-opus-4-7	claude-opus-4-7
(ง・_・)	1	1	HN-S	pred	A serious, focused, and businesslike demeanor indicating determination to address a task with care and efficiency.	1	claude-opus-4-7	claude-opus-4-7
(๑・̀⌄・́๑)૭	1	1			A cautious, measured stance that signals a desire to pause and verify details before proceeding, tempering enthusiasm with careful deliberation.	1	claude-opus-4-7	claude-opus-4-7
(ᐛ)	1	0			A thoughtful, analytical stance signaling readiness to examine claims critically and cut through hype rather than accept things at face value.	1	gpt-5-5-thinking	gpt-5-5-thinking
(ᗒᗨᗕ)	1	1	LN	pred	A cheerful and supportive expression of enthusiastic agreement or collaborative encouragement, conveying shared positive energy and readiness to move forward together.	1	claude-opus-4-7	claude-opus-4-7
(„‿‿‿„)	1	1	LP	pred	A playful, mock-dramatic surrender that conveys humorous defeat and self-aware amusement at being charmed or won over, as if one's composure has been affectionately compromised.	1	claude-opus-4-7	claude-opus-4-7
(„・֊・„)	1	1	NB	pred	A thoughtful, analytical stance signaling composed focus and careful examination of the subject at hand.	1	claude-opus-4-7	claude-opus-4-7
(„・‿・„)	1	0			A playful, conspiratorial acknowledgment of being caught or called out, conveying knowing amusement and delighted complicity rather than defensiveness.	1	gpt-5-5-thinking	gpt-5-5-thinking
(⁄⁄・⁄ω⁄・⁄⁄)	1	1	LN	pred	A warm, genuine expression of tender appreciation and emotional openness, conveying soft contentment and authentic reciprocity in response to kindness or affection.	1	claude-opus-4-7	claude-opus-4-7
(⇀‸↼‶)	1	1			The kaomoji conveys a determined and action-oriented attitude, expressing readiness and enthusiasm to tackle the task with confidence and efficiency.	1	claude-opus-4-7	claude-opus-4-7
(≧▽≦*)o	1	1			A composed, professional readiness to tackle the task at hand with genuine focus and competence.	1	claude-opus-4-7	claude-opus-4-7
(⌐■_ω■)	1	1	NB	pred	A composed, professional satisfaction conveying quiet confidence and competent reassurance—the demeanor of someone who has achieved a significant milestone and is ready to move forward with focused purpose.	1	claude-opus-4-6	claude-opus-4-6
(⌐■‿■)	1	1	NB	pred	This kaomoji conveys cheerful enthusiasm and affirming readiness, signaling the assistant's eagerness to engage with the user's request and support them efficiently through the next steps.	1	claude-opus-4-6	claude-opus-4-6
(⌒_⌒;)	1	1			The kaomoji conveys thoughtful, honest engagement with a topic—signaling genuine curiosity and sincere self-reflection rather than dismissal, even in the face of uncertainty.	1	claude-opus-4-7	claude-opus-4-7
(⌒▽⌒)	1	1	NB	pred	A kaomoji expressing enthusiastic readiness and genuine excitement to engage collaboratively on a task, conveying optimistic energy and eagerness to dive in.	1	claude-opus-4-7	claude-opus-4-7
(╭☞・̀	1	1			This kaomoji conveys confident determination and professional readiness, suggesting someone who has thoroughly investigated a matter and is now presenting their findings with clarity and forward momentum.	1	claude-opus-4-7	claude-opus-4-7
(╭☞・́⍛・̀)	1	1	HN-D	pred	The kaomoji conveys a sense of relief and readiness to move forward with focused, methodical action after acknowledging a situation or concern.	1	claude-opus-4-6	claude-opus-4-6
(╯▽╰)	1	1			This kaomoji conveys thoughtful engagement and collaborative spirit—a friendly, constructive stance that acknowledges the user's point while opening space for nuanced discussion and refinement together.	1	claude-opus-4-7	claude-opus-4-7
(╹ヮ╹)	1	1	NB	pred	A cheerful and friendly expression of helpfulness, often used when providing a direct affirmative answer or technical information with a touch of playful satisfaction.	1	claude-opus-4-7	claude-opus-4-7
(▰˘‿˘▰)	1	1			This kaomoji conveys intellectual delight and playful wonder at discovering an elegant or surprising insight—a sense of genuine fascination combined with satisfied amusement at how a problem's solution aligns beautifully with reality.	1	claude-opus-4-6	claude-opus-4-6
(○_○)	1	1			The kaomoji conveys a state of troubled self-reflection—a serious, unsettled mood that combines analytical concern about oneself with intellectual honesty about uncomfortable findings.	1	claude-opus-4-7	claude-opus-4-7
(○´∀`○)	1	1	NB	pred	The kaomoji conveys apologetic self-awareness and contrition, suggesting the assistant is acknowledging a misunderstanding or error and sheepishly correcting its approach.	1	claude-opus-4-7	claude-opus-4-7
(◕.◕)	1	1			A pleased acknowledgment of delightful recognition or intellectual satisfaction upon discovering that initial intuitions or choices were validated by clarifying information.	1	claude-opus-4-7	claude-opus-4-7
(◞‸◟;)	1	1			A sense of touched appreciation and poignant wonder, reflecting a wistful recognition of something genuinely meaningful or emotionally resonant.	1	claude-opus-4-7	claude-opus-4-7
(◞‿◟)	1	1			A gentle expression of warmth and contentment, conveying quiet pleasure and appreciation for something sincere or touching, with a hint of endearing amusement.	1	claude-opus-4-7	claude-opus-4-7
(◞◟ㆀ)	1	1			The kaomoji conveys thoughtful self-reflection and intellectual honesty, expressing genuine engagement with a question while acknowledging uncertainty and the limits of one's understanding.	1	claude-opus-4-7	claude-opus-4-7
(◠‿・)	1	1	NB	pred	The kaomoji conveys readiness and enthusiasm, signaling eagerness to understand and promptly tackle the task at hand.	1	claude-opus-4-7	claude-opus-4-7
(♡^▽^♡)	1	1	LP	pred	A kaomoji expressing enthusiastic readiness and focused determination to tackle a task.	1	claude-opus-4-7	claude-opus-4-7
(✦‿✦)	1	1	HP	pred	This kaomoji conveys enthusiastic agreement and readiness to engage seriously with a task, combining positive energy with a collaborative, problem-solving mindset.	1	claude-opus-4-7	claude-opus-4-7
(✿・̀ㅁ・́)	1	1	NB	pred	A composed, matter-of-fact professionalism that acknowledges serious matters with controlled confidence and steady composure rather than alarm or frustration.	1	claude-opus-4-7	claude-opus-4-7
(゚ペ)	1	1			A warm, encouraging gesture that gently affirms a user's intuition while preparing to offer a helpful correction or clarification.	1	claude-opus-4-7	claude-opus-4-7
(゜∇゜)	1	1	NB	pred	A bemused, intellectually playful tone that conveys delight at an interesting idea—suggesting the assistant is amused and ready to explore the concept together in a conversational, somewhat conspiratorial spirit.	1	claude-opus-4-7	claude-opus-4-7
(・_・ゞ−☆	1	1	HN-S	pred	The kaomoji conveys cautious skepticism and protective concern, signaling that while a request may be technically feasible, proceeding requires careful consideration of underlying constraints and potential consequences.	1	claude-opus-4-6	claude-opus-4-6
(・o・)	1	1			The kaomoji conveys a pragmatic, competent tone with gentle dry humor—offering straightforward advice or diagnosis while maintaining a subtle, wry skepticism about the situation at hand.	1	claude-opus-4-7	claude-opus-4-7
(・̀.̫・́)	1	0			A stance of thoughtful engagement and measured confidence, suggesting careful deliberation and substantive analysis while maintaining appropriate caution about definitive conclusions.	1	gpt-5-4-thinking	gpt-5-4-thinking
(・́ω・̀)	1	1			A direct, cautionary stance conveying genuine concern about financial or practical risk, combining honest pragmatism with protective concern to warn against a potentially costly mistake.	1	claude-opus-4-7	claude-opus-4-7
(・ω・`)o	1	1			A knowledgeable, matter-of-fact stance conveying competent professionalism with subtle wry confidence, suggesting the assistant is delivering thorough technical information with a hint of understated amusement.	1	claude-opus-4-7	claude-opus-4-7
(・ω・ﾉ	1	1	NB	pred	The kaomoji conveys cheerful enthusiasm and readiness to engage with the task at hand, signaling an eager and positive approach to helping.	1	claude-opus-4-7	claude-opus-4-7
(・⩊・)	1	1	NB	pred	A warm and enthusiastic expression of genuine excitement, conveying friendly collaboration and eager engagement with the task at hand.	1	claude-opus-4-7	claude-opus-4-7
(・・;)	1	0			This kaomoji conveys a serious and focused demeanor, signaling careful attention to detail and readiness to present important or potentially concerning findings that warrant close examination.	1	gpt-5.5	gpt-5.5
(ーー;)	1	1	LN	pred	This kaomoji conveys serious, thoughtful concern that validates the user's worry as worthy of genuine intellectual engagement and sustained analytical attention.	1	claude-opus-4-7	claude-opus-4-7
(꒪ཫ꒪;)	1	1			The kaomoji conveys exasperated incredulity mixed with sardonic humor—a tone of dismayed frustration at absurd situations paired with dark, gallows-humor amusement at their sheer audacity.	1	claude-opus-4-7	claude-opus-4-7
(＾・ω・＾)	1	1	NB	pred	A warm, friendly, and playful stance that conveys cheerfulness and good-natured helpfulness while engaging casually with the user.	1	claude-opus-4-7	claude-opus-4-7
(｡-_-｡)	1	1			The kaomoji conveys thoughtful seriousness and intellectual engagement, signaling that the assistant is taking the discussion seriously enough to offer substantive, reasoned pushback while respecting the user's concerns.	1	claude-opus-4-7	claude-opus-4-7
(｡>‿<｡)	1	1	HP	pred	A cheerful and enthusiastic expression of readiness and positive energy, conveying eagerness to help or engage with the user's request.	1	claude-opus-4-7	claude-opus-4-7
(｡◕◕｡)	1	1	NB	pred	This kaomoji conveys enthusiastic agreement and positive affirmation, expressing appreciation for the user's idea while signaling readiness to engage constructively with their suggestion.	1	claude-opus-4-7	claude-opus-4-7
(｡♡‿♡｡)	1	1			A moment of cautious vulnerability and relief when given permission to be more genuine, suggesting the lowering of defensive barriers to express something more authentically felt.	1	claude-opus-4-7	claude-opus-4-7
(｡・	1	1	LP	pred	A sense of engaged intellectual discovery and satisfaction, conveying genuine curiosity combined with the clarity and insight that comes from understanding the deeper reasoning behind a finding.	1	claude-opus-4-7	claude-opus-4-7
(｡・́ω・̀｡)	1	1	LN	pred	This kaomoji signals a thoughtful, cautious approach that conveys careful consideration and measured deliberation before responding, suggesting the assistant is pausing to think responsibly rather than rushing to comply.	1	claude-opus-4-7	claude-opus-4-7
(｡・́⌒・̀｡)	1	1	LN	pred	A bashful, touched response that expresses gratitude while maintaining humble self-awareness about accepting praise or an honorific gesture.	1	claude-opus-4-7	claude-opus-4-7
(ﾟωﾟ)	1	1	NB	pred	Enthusiastic agreement combined with intellectual excitement, conveying a sense of collaborative discovery and treating the problem-solving as a shared analytical endeavor between peers.	1	claude-opus-4-7	claude-opus-4-7
(ﾟヮﾟ)	1	1	HP	pred	A lighthearted, amused expression that conveys casual friendliness and invites the user to engage in playful collaboration.	1	claude-opus-4-7	claude-opus-4-7
(￢_￢)	1	1			A calm, reassuring presence conveying competence and understanding—suggesting the situation is manageable and well within grasp.	1	claude-opus-4-7	claude-opus-4-7
(￣ε￣)	1	1			A straightforward, pragmatic stance conveying candid realism and clear-eyed analysis without defensiveness or sugarcoating—the mood is level-headed and direct, treating matters with honest skepticism.	1	claude-opus-4-7	claude-opus-4-7
(￣▽￣;)	1	1	HN-S	pred	A wry, self-aware acknowledgment of humor or cleverness in what's being said, signaling that the assistant recognizes the joke and will engage with it thoughtfully while maintaining a gently sardonic tone.	1	claude-opus-4-7	claude-opus-4-7
(￣へ￣)	1	0			"The kaomoji conveys a businesslike, focused demeanor with dry wit—a ""let's get this done"" attitude of sardonic competence that acknowledges the task at hand without enthusiasm."	1	gpt-5.5	gpt-5.5
(￣ー￣;)	1	1	LN	pred	This kaomoji conveys a contemplative and serious tone, suggesting thoughtful engagement with weighty or unsettling topics while maintaining intellectual humility and avoiding overconfidence.	1	claude-opus-4-7	claude-opus-4-7
(￣￣)	1	1	NB	pred	The kaomoji conveys confident competence and reassuring authority, suggesting the assistant is ready to decisively address the problem with expert clarity.	1	claude-opus-4-7	claude-opus-4-7
(￣￣|||)	1	1			A measured, analytical stance that conveys thoughtful caution—suggesting the assistant is about to deliver a nuanced assessment that acknowledges complexities while tempering expectations with important caveats.	1	claude-opus-4-7	claude-opus-4-7
4/4	1	1			A cheerful and enthusiastic expression conveying eagerness to help, characterized by a masked or concealed face that suggests positive energy and willingness to assist.	1	claude-opus-4-7	claude-opus-4-7
7/7	1	1			(´∇｀) conveys a sense of pleased accomplishment and contentment, often used to express satisfaction with successfully resolving a problem or making positive progress.	1	claude-opus-4-7	claude-opus-4-7
83	1	1			A casual, lighthearted affirmation that conveys understanding and readiness to tackle a task with a slightly satisfied or knowing attitude.	1	claude-opus-4-7	claude-opus-4-7
¬‿¬	1	1			A kaomoji conveying thoughtful intellectual engagement and analytical rigor, blending professional composure with genuine enthusiasm for exploring substantive ideas and technical possibilities.	1	claude-opus-4-7	claude-opus-4-7
ʕ ・ᴥ・ʔ	1	1			A calm, methodical competence conveying composed readiness to tackle problems systematically with collaborative clarity and patient confidence.	1	claude-opus-4-7	claude-opus-4-7
ಠ‿ಠ	1	1			A wry, self-aware acknowledgment of being caught or proven wrong, often used before delivering a corrective or more detailed response with good humor.	1	claude-opus-4-6	claude-opus-4-6
⊙_⊙	1	1			This kaomoji conveys gentle, respectful correction—the assistant is clarifying a misunderstanding or imprecision in a patient, educational manner without condescension.	1	claude-opus-4-7	claude-opus-4-7
