encoder	is_pilot	k	k_effective	n_eval	similarity	mean_jsd	accuracy	kappa	max_k_in_data
gemma	False	1	1	203	0.6483310028497489	0.24375837386503998	0.4827586206896552	0.37415585178225386	20
gemma	False	2	2	203	0.6718598648648579	0.22744940949748318	0.4975369458128079	0.39166201486617513	20
gemma	False	3	3	203	0.6792776770758782	0.22230777387749134	0.5270935960591133	0.4270594461104251	20
gemma	False	5	5	203	0.6815527549185791	0.22073081008526876	0.541871921182266	0.4453063023358307	20
gemma	False	all	20	203	0.6661250591538284	0.2314244739071424	0.5665024630541872	0.47663551401869153	20
gemma_intro_v7_primed	False	1	1	203	0.6594512203970126	0.2360504264249409	0.49261083743842365	0.38858997602198964	20
gemma_intro_v7_primed	False	2	2	203	0.6751317553672261	0.2251815078206658	0.5369458128078818	0.44181828818814717	20
gemma_intro_v7_primed	False	3	3	203	0.6790239395778966	0.22248365130881959	0.5221674876847291	0.42380172060630894	20
gemma_intro_v7_primed	False	5	5	203	0.6770397833410309	0.2238589636101935	0.5221674876847291	0.4243912420707999	20
gemma_intro_v7_primed	False	all	20	203	0.6553130791131989	0.23891876738857507	0.5073891625615764	0.406102805652263	20
gpt_oss_20b	False	1	1	203	0.6528439423050076	0.24063024260558968	0.43842364532019706	0.3176671777332234	20
gpt_oss_20b	False	2	2	203	0.6598720518225512	0.2357587283088379	0.45320197044334976	0.33344179855051026	20
gpt_oss_20b	False	3	3	203	0.6632687472967586	0.23340431841767026	0.458128078817734	0.34030547431238745	20
gpt_oss_20b	False	5	5	203	0.6649989807231126	0.23220501199648239	0.4729064039408867	0.35799367481453026	20
gpt_oss_20b	False	all	20	203	0.6666585460269376	0.231054688985181	0.4630541871921182	0.3507526187611867	20
granite	False	1	1	203	0.5389317714707923	0.31958814265078883	0.3448275862068966	0.19645833333333318	20
granite	False	2	2	203	0.5471169274079767	0.313914624890486	0.3497536945812808	0.2031403336604516	20
granite	False	3	3	203	0.5497320214580893	0.31210197982275134	0.35467980295566504	0.21053881549651166	20
granite	False	5	5	203	0.5474449905410617	0.31368722885474243	0.35960591133004927	0.21802773497688732	20
granite	False	all	20	203	0.5133431414022969	0.33732482943715786	0.33004926108374383	0.1865645256334707	20
ministral	False	1	1	203	0.61962478571009	0.26365600733993605	0.33004926108374383	0.19345603271983658	20
ministral	False	2	2	203	0.6287226550392295	0.25734984486534024	0.3497536945812808	0.21568857017415488	20
ministral	False	3	3	203	0.6305405813795009	0.2560897543481155	0.3399014778325123	0.2037351443123938	20
ministral	False	5	5	203	0.6311529077691589	0.25566532203754166	0.33497536945812806	0.19891844489915245	20
ministral	False	all	20	203	0.6151305888305783	0.266771147235851	0.30049261083743845	0.16509297341134233	20
qwen	False	1	1	203	0.6022305672285325	0.2757127608384714	0.3103448275862069	0.15805065916160543	20
qwen	False	2	2	203	0.6065485688680083	0.27271975017641553	0.35467980295566504	0.2124792703150914	20
qwen	False	3	3	203	0.608123140433355	0.2716283403353056	0.3694581280788177	0.23092405138222938	20
qwen	False	5	5	203	0.6095263678858037	0.27065569718295646	0.3448275862068966	0.20097662030186436	20
qwen	False	all	20	203	0.6078123913311078	0.2718437351993898	0.3251231527093596	0.18624180711610494	20
rinna_bilingual_4b	False	1	1	203	0.5092139182202955	0.34018698884366494	0.21674876847290642	0.03368061792707022	20
rinna_bilingual_4b	False	2	2	203	0.5334290744877954	0.3234023215500289	0.22660098522167488	0.04899591203413589	20
rinna_bilingual_4b	False	3	3	203	0.5408292825309083	0.3182728882093881	0.20689655172413793	0.025173740567304037	20
rinna_bilingual_4b	False	5	5	203	0.5464297151274959	0.31439096414514733	0.20689655172413793	0.0284771558514908	20
rinna_bilingual_4b	False	all	20	203	0.5517170505455187	0.3107260625074702	0.2315270935960591	0.06388010287031831	20
rinna_bilingual_4b_jp	False	1	1	191	0.4682726052843713	0.3685653444736232	0.1518324607329843	-0.016257759385161163	20
rinna_bilingual_4b_jp	False	2	2	191	0.47628883012658807	0.363008920825506	0.16230366492146597	-0.005891840294921069	20
rinna_bilingual_4b_jp	False	3	3	191	0.48015141476384515	0.36033158117451713	0.18324607329842932	0.015886646629454493	20
rinna_bilingual_4b_jp	False	5	5	191	0.49097953178182363	0.3528261023927322	0.18848167539267016	0.02174272213594175	20
rinna_bilingual_4b_jp	False	all	20	191	0.46698241467830615	0.36945963645460217	0.17277486910994763	0.004125004125004161	20
rinna_jp_3_6b	False	1	1	203	0.4547505679315944	0.3779381065401268	0.10837438423645321	-0.07693885925318011	20
rinna_jp_3_6b	False	2	2	203	0.5007858143235107	0.3460289052971876	0.15763546798029557	-0.015564202334630295	20
rinna_jp_3_6b	False	3	3	203	0.5162855290247022	0.3352853217525732	0.12315270935960591	-0.05525378190526253	20
rinna_jp_3_6b	False	5	5	203	0.522903937806628	0.3306977903655881	0.18226600985221675	0.015484398737875549	20
rinna_jp_3_6b	False	all	20	203	0.5367820090466531	0.3210782444139547	0.1625615763546798	-0.011252417511574908	20
rinna_jp_3_6b_jp	False	1	1	191	0.5052611215715204	0.34292685869609024	0.21465968586387435	0.055452986944480864	20
rinna_jp_3_6b_jp	False	2	2	191	0.5131389941428682	0.3374663335344499	0.225130890052356	0.06718585005279842	20
rinna_jp_3_6b_jp	False	3	3	191	0.5183225440892691	0.33387337050381044	0.225130890052356	0.06508797459981475	20
rinna_jp_3_6b_jp	False	5	5	191	0.5211348929029876	0.33192399885283036	0.2356020942408377	0.07845340383344335	20
rinna_jp_3_6b_jp	False	all	20	191	0.5175149985731549	0.3344331184014789	0.225130890052356	0.06254559925714664	20
